City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Silikatnyy,RU,2022-09-02 03:35:23,53.9896,48.3275,53.24,63,61,7.9
67,Grand Gaube,MU,2022-09-02 03:35:23,-20.0064,57.6608,68.4,67,8,1.99
68,Umm Kaddadah,SD,2022-09-02 03:35:24,13.6017,26.6876,81.27,58,86,9.06
69,Santa Vitoria,BR,2022-09-02 03:35:24,-18.8386,-50.1214,72.32,35,0,9.37
70,Cape Town,ZA,2022-09-02 03:30:36,-33.9258,18.4232,57.88,77,75,11.5
71,Abu Dhabi,AE,2022-09-02 03:35:24,24.4667,54.3667,84.96,86,6,3.44
72,Quelimane,MZ,2022-09-02 03:35:24,-17.8786,36.8883,66.13,71,83,4.23
73,Barrow,US,2022-09-02 03:35:25,71.2906,-156.7887,39.22,93,100,18.41
74,Half Moon Bay,US,2022-09-02 03:31:55,37.4636,-122.4286,76.78,85,100,18.41
75,Dayong,CN,2022-09-02 03:35:25,25.0209,118.2898,90.93,46,19,7.92
76,Odweyne,SO,2022-09-02 03:35:26,9.4092,45.064,72.18,46,16,17.69
77,Itaituba,BR,2022-09-02 03:35:26,-4.2761,-55.9836,76.68,64,61,1.12
78,Bure,ET,2022-09-02 03:35:26,10.7,37.0667,55.31,97,100,2.24
79,Kieta,PG,2022-09-02 03:35:26,-6.2167,155.6333,84.42,70,19,5.48
80,Lengshuijiang,CN,2022-09-02 03:35:27,27.6881,111.4294,84.87,41,29,9.24
81,Saskylakh,RU,2022-09-02 03:35:27,71.9167,114.0833,41.47,73,100,21.7
82,Hamilton,US,2022-09-02 03:30:46,39.1834,-84.5333,73.99,83,0,0.0
83,Port Blair,IN,2022-09-02 03:35:27,11.6667,92.75,86.04,74,40,3.44
84,Cherskiy,RU,2022-09-02 03:35:28,68.75,161.3,54.66,36,54,7.58
85,Rolla,US,2022-09-02 03:35:28,37.9514,-91.7713,73.54,75,0,8.05
86,Mahebourg,MU,2022-09-02 03:35:28,-20.4081,57.7,68.29,77,20,4.61
87,Coihaique,CL,2022-09-02 03:35:28,-45.5752,-72.0662,40.95,70,0,3.44
88,Shenzhen,CN,2022-09-02 03:35:29,22.5455,114.0683,88.14,55,100,11.56
89,Chipiona,ES,2022-09-02 03:35:29,36.7366,-6.437,71.82,83,0,3.44
90,Whakatane,NZ,2022-09-02 03:35:29,-37.9585,176.9854,62.51,60,54,4.0
91,Port Elizabeth,ZA,2022-09-02 03:32:13,-33.918,25.5701,60.1,91,20,18.41
92,Westport,US,2022-09-02 03:35:29,41.1415,-73.3579,72.07,56,0,12.66
93,Craig,US,2022-09-02 03:35:30,40.5153,-107.5464,74.82,37,0,0.0
94,Henties Bay,NA,2022-09-02 03:35:30,-22.116,14.2845,54.45,95,3,5.3
95,Chapais,CA,2022-09-02 03:35:30,49.7834,-74.8492,44.38,96,7,4.76
96,Digby,CA,2022-09-02 03:35:31,44.6169,-65.7655,59.95,77,3,13.33
97,Shadegan,IR,2022-09-02 03:35:31,30.6497,48.6647,87.75,11,18,2.39
98,Laguna,US,2022-09-02 03:32:37,38.421,-121.4238,93.34,25,0,5.75
99,Khvoynaya,RU,2022-09-02 03:35:31,58.9,34.5333,40.82,97,100,11.56
100,Popondetta,PG,2022-09-02 03:35:32,-8.7537,148.2534,87.91,56,57,7.36
101,Tecoanapa,MX,2022-09-02 03:35:32,16.5167,-98.75,79.12,91,100,6.44
102,Koslan,RU,2022-09-02 03:35:32,63.4564,48.8989,45.5,95,99,5.53
103,Montlucon,FR,2022-09-02 03:35:32,46.3333,2.6,57.7,94,93,5.01
104,Kahului,US,2022-09-02 03:33:13,20.8947,-156.47,82.98,70,40,20.71
105,Byron Bay,AU,2022-09-02 03:35:33,-28.65,153.6167,67.95,67,100,7.16
106,Miyako,JP,2022-09-02 03:34:29,39.6367,141.9525,72.01,86,99,3.47
107,Dudinka,RU,2022-09-02 03:35:33,69.4058,86.1778,43.63,63,37,18.52
108,Ancud,CL,2022-09-02 03:35:33,-41.8697,-73.8203,42.22,83,6,4.29
109,Mitsamiouli,KM,2022-09-02 03:35:33,-11.3847,43.2844,71.89,73,75,5.75
110,Houma,US,2022-09-02 03:35:19,29.5958,-90.7195,80.01,89,92,0.0
111,Pali,IN,2022-09-02 03:35:34,25.7667,73.3333,87.67,58,46,6.4
112,Huarmey,PE,2022-09-02 03:35:34,-10.0681,-78.1522,60.62,83,69,9.51
113,Kutum,SD,2022-09-02 03:35:34,14.2,24.6667,73.45,68,100,6.8
114,Sitka,US,2022-09-02 03:33:10,57.0531,-135.33,58.89,77,100,0.0
115,Bandarbeyla,SO,2022-09-02 03:35:35,9.4942,50.8122,76.89,62,36,21.88
116,Meulaboh,ID,2022-09-02 03:35:35,4.1363,96.1285,83.66,65,96,2.66
117,Mayo,US,2022-09-02 03:35:35,38.8876,-76.5119,77.13,78,0,0.0
118,Asau,RO,2022-09-02 03:35:35,46.4333,26.4,54.52,96,100,2.71
119,Norman Wells,CA,2022-09-02 03:35:36,65.282,-126.8329,60.84,67,75,3.44
120,Ardakan,IR,2022-09-02 03:35:36,32.31,54.0175,79.36,11,5,3.71
121,Kavieng,PG,2022-09-02 03:35:36,-2.5744,150.7967,83.57,71,100,12.46
122,Srinagar,IN,2022-09-02 03:35:37,34.0833,74.8167,70.97,72,0,1.77
123,Vila Franca Do Campo,PT,2022-09-02 03:35:37,37.7167,-25.4333,70.21,86,100,6.22
124,Do Gonbadan,IR,2022-09-02 03:35:37,30.3586,50.7981,78.89,69,0,2.3
125,Bubaque,GW,2022-09-02 03:35:37,11.2833,-15.8333,76.6,88,100,13.47
126,Avera,US,2022-09-02 03:35:38,33.194,-82.5271,72.37,87,27,5.48
127,Zarate,AR,2022-09-02 03:35:38,-34.0981,-59.0286,57.96,71,100,20.0
128,Eyl,SO,2022-09-02 03:35:38,7.9803,49.8164,77.85,58,20,22.08
